"ACETONE THIOSEMICARBAZIDE","1752-30-3"
"ACROLEIN","107-02-8"
"ACRYLAMIDE","79-06-1"
"ACRYLONITRILE","107-13-1"
"ACRYLYL CHLORIDE","814-68-6"
"ADIPONITRILE","111-69-3"
"ALDICARB","116-06-3"
"ALDRIN","309-00-2"
"ALLYL ALCOHOL","107-18-6"
"ALLYL AMINE","107-11-9"
"ALUMINUM PHOSPHIDE","20859-73-8"
"5-(AMINOMETHYL)-3-ISOXAZOLOL","2763-96-4"
"AMINOPTERIN","54-62-6"
"AMITON","78-53-5"
"AMITON OXALATE","3734-97-2"
"AMMONIA","7664-41-7"
"AMPHETAMINE","300-62-9"
"ANILINE","62-53-3"
"ANILINE, 2,4,6-TRIMETHYL-","88-05-1"
"ANTIMONY PENTAFLUORIDE","7783-70-2"
"ANTIMYCIN A","1397-94-0"
"ANTU","86-88-4"
"ARSENIC OXIDE (3)","1327-53-3"
"ARSENIC PENTOXIDE","1303-28-2"
"ARSENOUS TRICHLORIDE","7784-34-1"
"ARSINE","7784-42-1"
"AZINPHOS-ETHYL","2642-71-9"
"AZINPHOS-METHYL","86-50-0"
"AZODRIN","6923-22-4"
"BENZAL CHLORIDE","98-87-3"
"BENZENAMINE, 3-(TRIFLUOROMETHYL)-","98-16-8"
"BENZENE, 1-(CHLOROMETHYL)-4-NITRO-","100-14-1"
"BENZENEARSONIC ACID","98-05-5"
"BENZENETHIOL","108-98-5"
"BENZIMIDAZOL,4,5-DICHLORO-2-(TRIFLUOROMETHYL)-","3615-21-2"
"BENZOIC TRICHLORIDE","98-07-7"
"BENZYL CHLORIDE","100-44-7"
"BENZYL CYANIDE","140-29-4"
"BETA-PROPIOLACTONE","57-57-8"
"1,1'-BI(ETHYLENE OXIDE)","1464-53-5"
"BIDRIN","141-66-2"
"BIS(2,3-EPOXYPROPYL)ETHER","2238-07-5"
"BIS(2-CHLOROETHYL) ETHER","111-44-4"
"BIS(CHLOROMETHYL) ETHER","542-88-1"
"BIS(CHLOROMETHYL) KETONE","534-07-6"
"10,10'-BIS(PHENOXYARSINYL) OXIDE","58-36-6"
"BITOSCANATE","4044-65-9"
"BORON TRICHLORIDE","10294-34-5"
"BORON TRIFLUORIDE","7637-07-2"
"BORON TRIFLUORIDE COMPOUND WITH METHYL ETHER (1:1)","353-42-4"
"BROMADIOLONE","28772-56-7"
"BROMINE","7726-95-6"
"CADMIUM OXIDE","1306-19-0"
"CADMIUM STEARATE","2223-93-0"
"CALCIUM ARSENATE [2ASH3O4.2CA]","7778-44-1"
"CAMPHECHLOR","8001-35-2"
"CANTHARIDIN","56-25-7"
"CARBACHOL CHLORIDE","51-83-2"
"CARBAMIC ACID, METHYL-, O-(((2,4-DIMETHYL-1,       3-DITHIOLAN-2-Y-METHYLENE)AMINO)-","26419-73-8"
"CARBOFURAN","1563-66-2"
"CARBON DISULFIDE","75-15-0"
"CARBONOCHLORIDIC ACID, PROPYLESTER","109-61-5"
"CARBOPHENOTHION","786-19-6"
"CHLORDANE","57-74-9"
"CHLORFENVINFOS","470-90-6"
"CHLORINE","7782-50-5"
"CHLORMEPHOS","24934-91-6"
"CHLORMEQUAT CHLORIDE","999-81-5"
"5-CHLORO-6-[[[(METHYLAMINO)CARBONYL]OXY]IMINO]BICYCLO[2.2.1]HEPTANE-2-CARBONITRILE","15271-41-7"
"CHLOROACETIC ACID","79-11-8"
"CHLOROETHANOL","107-07-3"
"CHLOROETHYL CHLOROFORMATE","627-11-2"
"CHLOROFORM","67-66-3"
"CHLOROMETHYL METHYL ETHER","107-30-2"
"CHLOROPHACINONE","3691-35-8"
"3-CHLOROPROPIONITRILE","542-76-7"
"CHLOROXURON","1982-47-4"
"CHLORTHIOPHOS","21923-23-9"
"CHROMIUM CHLORIDE (3)","10025-73-7"
"COBALT CARBONYL","10210-68-1"
"COLCHICINE","64-86-8"
"COUMAPHOS","56-72-4"
"COUMATETRALYL","5836-29-3"
"CRIMIDINE","535-89-7"
"CROTONALDEHYDE","4170-30-3"
"CROTONALDEHYDE, (E)-","123-73-9"
"CUPRIC ACETOARSENITE","12002-03-8"
"CYANOGEN BROMIDE","506-68-3"
"CYANOGEN IODIDE","506-78-5"
"CYANOPHOS","2636-26-2"
"CYANURIC FLUORIDE","675-14-9"
"CYCLOHEXIMIDE","66-81-9"
"CYCLOHEXYLAMINE","108-91-8"
"DASANIT","115-90-2"
"DECABORANE(14)","17702-41-9"
"DEMETON","8065-48-3"
"DEMETON-S-METHY","919-86-8"
"DIBORANE","19287-45-7"
"DICHLOROMETHYLPHENYLSILANE","149-74-6"
"DICHLOROPHENYLARSINE","696-28-6"
"DICHLORVOS","62-73-7"
"DIETHYL CHLOROPHOSPHATE","814-49-3"
"DIETHYLCARBAMAZINE CITRATE","1642-54-2"
"DIGITOXIN","71-63-6"
"DIGOXIN","20830-75-5"
"2,2'-DIHYDROXY-3,3'-DIMETHYL-5,5'-DICHLORODIPHENYL SULFIDE","4418-66-0"
"DIISOPROPYLFLUOROPHOSPHATE","55-91-4"
"DIMEFOX","115-26-4"
"DIMETHOATE","60-51-5"
"DIMETHYL CHLOROTHIOPHOSPHATE","2524-03-0"
"1,1-DIMETHYL HYDRAZINE","57-14-7"
"DIMETHYL SULFATE","77-78-1"
"DIMETHYL-P-PHENYLENEDIAMINE","99-98-9"
"DIMETHYLDICHLOROSILANE","75-78-5"
"DIMETILAN","644-64-4"
"4,6-DINITRO-O-CRESOL","534-52-1"
"DINITROBUTYL PHENOL","88-85-7"
"DINOTERB","1420-07-1"
"DIPHACINONE","82-66-6"
"DISULFOTON","298-04-4"
"DITHIAZANINE IODIDE","514-73-8"
"DITHIOBIURET","541-53-7"
"EMETINE, DIHYDROCHLORIDE","316-42-7"
"ENDOSULFAN","115-29-7"
"ENDOTHION","2778-04-3"
"ENDRIN","72-20-8"
"EPICHLOROHYDRIN","106-89-8"
"EPN","2104-64-5"
"ERGOCALCIFEROL","50-14-6"
"ERGOTAMINE TARTRATE","379-79-3"
"((2,2'-(1,2-ETHANEDIYLBIS(NITRILOMETHYLIDYNE))BIS(6-FLUOROPHENOLA- TO))(2-)-N,N'O,O')-COBALT","62207-76-5"
"ETHANESULFONYL CHLORIDE, 2-CHLORO-","1622-32-8"
"ETHANOL, 1,2-DICHLORO-, ACETATE","10140-87-1"
"ETHION","563-12-2"
"ETHOPROP","13194-48-4"
"ETHYL BIS(2-CHLOROETHYL)AMINE","538-07-8"
"ETHYL CYANIDE","107-12-0"
"ETHYL THIOCYANATE","542-90-5"
"ETHYLENE FLUOROHYDRIN","371-62-0"
"ETHYLENE OXIDE","75-21-8"
"ETHYLENEDIAMINE","107-15-3"
"ETHYLENEIMINE","151-56-4"
"FENAMIPHOS","22224-92-6"
